Symbol,Description,Category?¡ø?,UniProt ID,GIFtS,GC id,Score,8.409
CLSTN3,Calsyntenin 3,Protein Coding,Q9BQT9,46,GC12P074092,0.36,
MLNR,Motilin Receptor,Protein Coding,O43193,52,GC13P049220,0.36,
MSC,Musculin,Protein Coding,O60682,48,GC08M071836,0.36,
THAP3,THAP Domain Containing 3,Protein Coding,Q8WTV1,45,GC01P075109,0.36,
ZBTB7C,Zinc Finger And BTB Domain Containing 7C,Protein Coding,A1YPR0,43,GC18M048026,0.36,
NME9,NME/NM23 Family Member 9,Protein Coding,Q86XW9,41,GC03M138261,0.36,
F11-AS1,F11 Antisense RNA 1,RNA Gene (lncRNA),,21,GC04M186286,0.36,
IGKV2-30,Immunoglobulin Kappa Variable 2-30,Protein Coding,P06310,19,GC02M092947,0.36,
IGKV2-29,Immunoglobulin Kappa Variable 2-29,Pseudogene,A2NJV5,16,GC02M092944,0.36,
LOC126806658,BRD4-Independent Group 4 Enhancer GRCh37_chr3:41265899-41267098,Functional Element,,10,GC03P041224,0.36,
LOC127898564,CYB561D2-LOC101928965,RNA Gene (ncRNA),,9,GC03P066025,0.36,
LOC129992876,ATAC-STARR-Seq Lymphoblastoid Silent Region 15595,Functional Element,,6,GC04P102345,0.36,
APOL3,Apolipoprotein L3,Protein Coding,O95236,44,GC22M086094,0.36,
FZD7,Frizzled Class Receptor 7,Protein Coding,O75084,56,GC02P204795,0.35,
PHF1,PHD Finger Protein 1,Protein Coding,O43189,52,GC06P181960,0.35,
SKAP2,Src Kinase Associated Phosphoprotein 2,Protein Coding,O75563,49,GC07M026654,0.35,
KLHL2,Kelch Like Family Member 2,Protein Coding,O95198,47,GC04P165207,0.35,
JPT1,Jupiter Microtubule Associated Homolog 1,Protein Coding,Q9UK76,44,GC17M098035,0.35,
RAB2B,"RAB2B, Member RAS Oncogene Family",Protein Coding,Q8WUD1,40,GC14M021459,0.35,
BAZ2B,Bromodomain Adjacent To Zinc Finger Domain 2B,Protein Coding,Q9UIF8,51,GC02M159318,0.35,
ZKSCAN1,Zinc Finger With KRAB And SCAN Domains 1,Protein Coding,P17029,50,GC07P100015,0.35,
ARHGAP12,Rho GTPase Activating Protein 12,Protein Coding,Q8IWW6,47,GC10M037175,0.35,
VMA22,Vacuolar ATPase Assembly Factor VMA22,Protein Coding,Q96NT0,47,GC02M138316,0.35,
RABGAP1L,RAB GTPase Activating Protein 1 Like,Protein Coding,B7ZAP0,44,GC01P174159,0.35,
ZNF564,Zinc Finger Protein 564,Protein Coding,Q8TBZ8,41,GC19M108200,0.35,
RESP18,Regulated Endocrine Specific Protein 18,Protein Coding,Q5W5W9,38,GC02M219327,0.35,
SAGE1,Sarcoma Antigen 1,Protein Coding,Q9NXZ1,38,GC0XP135889,0.35,
ZNF787,Zinc Finger Protein 787,Protein Coding,Q6DD87,38,GC19M109341,0.35,
TASOR2,Transcription Activation Suppressor Family Member 2,Protein Coding,Q5VWN6,36,GC10P005684,0.35,
C1orf198,Chromosome 1 Open Reading Frame 198,Protein Coding,Q9H425,36,GC01M230837,0.35,
SFSWAP,Splicing Factor SWAP,Protein Coding,Q12872,43,GC12P131711,0.35,
C18orf32,Chromosome 18 Open Reading Frame 32,Protein Coding,Q8TCD1,42,GC18M049477,0.35,
PBDC1,Polysaccharide Biosynthesis Domain Containing 1,Protein Coding,Q9BVG4,38,GC0XP076172,0.35,
TMPO-AS1,TMPO Antisense RNA 1,RNA Gene (lncRNA),,19,GC12M098512,0.35,
TXNL4A,Thioredoxin Like 4A,Protein Coding,P83876,52,GC18M079970,0.35,
CTBS,Chitobiase,Protein Coding,Q01459,48,GC01M084549,0.35,
ITIH1,Inter-Alpha-Trypsin Inhibitor Heavy Chain 1,Protein Coding,P19827,48,GC03P052777,0.35,
OTUD7B,OTU Deubiquitinase 7B,Protein Coding,Q6GQQ9,47,GC01M149937,0.35,
SNTG2,Syntrophin Gamma 2,Protein Coding,Q9NY99,46,GC02P001274,0.35,
RAB5IF,RAB5 Interacting Factor,Protein Coding,Q9BUV8,45,GC20P053315,0.35,
IGKV1-17,Immunoglobulin Kappa Variable 1-17,Protein Coding,P01599,21,GC02M092933,0.35,
IGKV1-39,Immunoglobulin Kappa Variable 1-39,Protein Coding,P01597,18,GC02M092953,0.35,
WSB1,WD Repeat And SOCS Box Containing 1,Protein Coding,Q9Y6I7,47,GC17P027294,0.35,
RAC3,Rac Family Small GTPase 3,Protein Coding,P60763,57,GC17P082031,0.34,
EMP2,Epithelial Membrane Protein 2,Protein Coding,P54851,54,GC16M050197,0.34,
LRSAM1,Leucine Rich Repeat And Sterile Alpha Motif Containing 1,Protein Coding,Q6UWE0,52,GC09P127451,0.34,
MEOX1,Mesenchyme Homeobox 1,Protein Coding,P50221,52,GC17M043640,0.34,
SNX9,Sorting Nexin 9,Protein Coding,Q9Y5X1,52,GC06P183815,0.34,
IQGAP2,IQ Motif Containing GTPase Activating Protein 2,Protein Coding,Q13576,51,GC05P076403,0.34,
ARHGAP11A,Rho GTPase Activating Protein 11A,Protein Coding,Q6P4F7,47,GC15P032615,0.34,
CMAS,Cytidine Monophosphate N-Acetylneuraminic Acid Synthetase,Protein Coding,Q8NFW8,47,GC12P022046,0.34,
FAIM,Fas Apoptotic Inhibitory Molecule,Protein Coding,Q9NVQ4,47,GC03P138608,0.34,
NMD3,NMD3 Ribosome Export Adaptor,Protein Coding,Q96D46,45,GC03P161104,0.34,
RAB43,"RAB43, Member RAS Oncogene Family",Protein Coding,Q86YS6,45,GC03M132460,0.34,
SH3GLB2,"SH3 Domain Containing GRB2 Like, Endophilin B2",Protein Coding,Q9NR46,45,GC09M129007,0.34,
IQCN,IQ Motif Containing N,Protein Coding,Q9H0B3,43,GC19M018257,0.34,
MSLN,Mesothelin,Protein Coding,Q13421,55,GC16P120119,0.34,
OTUD1,OTU Deubiquitinase 1,Protein Coding,Q5VV17,42,GC10P023439,0.34,
FBXL6,F-Box And Leucine Rich Repeat Protein 6,Protein Coding,Q8N531,39,GC08M144355,0.34,
CIMIP1,Ciliary Microtubule Inner Protein 1,Protein Coding,Q9H1P6,37,GC20P058150,0.34,
HOXA11-AS,HOXA11 Antisense RNA,RNA Gene (lncRNA),,29,GC07P027184,0.34,
NKILA,NF-KappaB Interacting LncRNA,RNA Gene (lncRNA),,21,GC20P057874,0.34,
NMRAL2P,"NmrA Like Redox Sensor 2, Pseudogene",Pseudogene,,16,GC03P186049,0.34,
PRM2,Protamine 2,Protein Coding,P04554,47,GC16M050221,0.34,
FCRL6,Fc Receptor Like 6,Protein Coding,Q6DN72,45,GC01P159800,0.34,
CDKN2A-AS1,CDKN2A Antisense RNA 1,RNA Gene (lncRNA),Q9UH64,28,GC09P021979,0.34,
GCGR,Glucagon Receptor,Protein Coding,P47871,59,GC17P081804,0.34,
SIGLEC1,Sialic Acid Binding Ig Like Lectin 1,Protein Coding,Q9BZZ2,52,GC20M003686,0.34,
PLCL1,Phospholipase C Like 1 (Inactive),Protein Coding,Q15111,51,GC02P197804,0.34,
CACNG7,Calcium Voltage-Gated Channel Auxiliary Subunit Gamma 7,Protein Coding,P62955,50,GC19P053909,0.34,
NPVF,Neuropeptide VF Precursor,Protein Coding,Q9HCQ7,44,GC07M025224,0.34,
OXSM,"3-Oxoacyl-ACP Synthase, Mitochondrial",Protein Coding,Q9NWU1,43,GC03P025782,0.34,
ZNF444,Zinc Finger Protein 444,Protein Coding,Q8N0Y2,40,GC19P056132,0.33,
EPS8L2,EPS8 Signaling Adaptor L2,Protein Coding,Q9H6S3,50,GC11P000694,0.33,
LMO4,LIM Domain Only 4,Protein Coding,P61968,50,GC01P087364,0.33,
GNL1,G Protein Nucleolar 1 (Putative),Protein Coding,P36915,47,GC06M030541,0.33,
OSBPL9,Oxysterol Binding Protein Like 9,Protein Coding,Q96SU4,47,GC01P078322,0.33,
RIC8A,RIC8 Guanine Nucleotide Exchange Factor A,Protein Coding,Q9NPQ8,47,GC11P000207,0.33,
PIP5KL1,Phosphatidylinositol-4-Phosphate 5-Kinase Like 1,Protein Coding,Q5T9C9,41,GC09M127920,0.33,
YAE1,YAE1 Maturation Factor Of ABCE1,Protein Coding,Q9NRH1,40,GC07P039567,0.33,
RAB9A,"RAB9A, Member RAS Oncogene Family",Protein Coding,P51151,49,GC0XP013930,0.33,
TMF1,TATA Element Modulatory Factor 1,Protein Coding,P82094,47,GC03M069019,0.33,
GPRIN1,G Protein Regulated Inducer Of Neurite Outgrowth 1,Protein Coding,Q7Z2K8,45,GC05M176595,0.33,
SOX4,SRY-Box Transcription Factor 4,Protein Coding,Q06945,55,GC06P021593,0.32,
WRAP53,WD Repeat Containing Antisense To TP53,Protein Coding,Q9BUR4,52,GC17P153763,0.32,
NCOA4,Nuclear Receptor Coactivator 4,Protein Coding,Q13772,51,GC10M046005,0.32,
VPS28,VPS28 Subunit Of ESCRT-I,Protein Coding,Q9UK41,50,GC08M147398,0.32,
EMP1,Epithelial Membrane Protein 1,Protein Coding,P54849,48,GC12P013196,0.32,
FAAP24,FA Core Complex Associated Protein 24,Protein Coding,Q9BTP7,47,GC19P152334,0.32,
HIC2,HIC ZBTB Transcriptional Repressor 2,Protein Coding,Q96JB3,46,GC22P091618,0.32,
PINX1,PIN2 (TERF1) Interacting Telomerase Inhibitor 1,Protein Coding,Q96BK5,46,GC08M010827,0.32,
PPP2R2D,Protein Phosphatase 2 Regulatory Subunit Bdelta,Protein Coding,Q66LE6,44,GC10P131901,0.32,
MFSD11,Major Facilitator Superfamily Domain Containing 11,Protein Coding,O43934,43,GC17P076735,0.32,
RPAP1,RNA Polymerase II Associated Protein 1,Protein Coding,Q9BWH6,42,GC15M041517,0.32,
GOLM2,Golgi Membrane Protein 2,Protein Coding,Q6P4E1,40,GC15P192963,0.32,
MIR616,MicroRNA 616,RNA Gene (miRNA),,23,GC12M057519,0.32,
ARF5,ARF GTPase 5,Protein Coding,P84085,51,GC07P127588,0.32,
OAS3,2'-5'-Oligoadenylate Synthetase 3,Protein Coding,Q9Y6K5,51,GC12P112938,0.32,
RAB38,"RAB38, Member RAS Oncogene Family",Protein Coding,P57729,51,GC11M140256,0.32,
DLX6-AS1,DLX6 Antisense RNA 1,RNA Gene (lncRNA),,30,GC07M097024,0.32,
MIR3619,MicroRNA 3619,RNA Gene (miRNA),,18,GC22P046091,0.32,
FSHMD1A,Facioscapulohumeral Muscular Dystrophy 1A,Genetic Locus,,10,GC04U990018,0.32,
VPS37A,VPS37A Subunit Of ESCRT-I,Protein Coding,Q8NEZ2,54,GC08P017246,0.31,
NKX6-1,NK6 Homeobox 1,Protein Coding,P78426,52,GC04M084491,0.31,
URGCP,Upregulator Of Cell Proliferation,Protein Coding,Q8TCY9,44,GC07M043876,0.31,
SNN,Stannin,Protein Coding,O75324,42,GC16P120384,0.31,
TUSC2,"Tumor Suppressor 2, Mitochondrial Calcium Regulator",Protein Coding,O75896,42,GC03M054829,0.31,
SPATA20,Spermatogenesis Associated 20,Protein Coding,Q8TB22,41,GC17P050543,0.31,
EML2,EMAP Like 2,Protein Coding,O95834,40,GC19M045606,0.31,
GTF2IRD2B,GTF2I Repeat Domain Containing 2B,Protein Coding,Q6EKJ0,39,GC07P075092,0.31,
PABIR2,PABIR Family Member 2,Protein Coding,Q7Z309,35,GC0XM135421,0.31,
MIR4435-2,MicroRNA 4435-2,RNA Gene (miRNA),,17,GC02M114089,0.31,
NPC1L1,NPC1 Like Intracellular Cholesterol Transporter 1,Protein Coding,Q9UHC9,56,GC07M044512,0.31,
MYH4,Myosin Heavy Chain 4,Protein Coding,Q9Y623,52,GC17M010443,0.31,
EEA1,Early Endosome Antigen 1,Protein Coding,Q15075,55,GC12M092770,0.31,
SPINK2,Serine Peptidase Inhibitor Kazal Type 2,Protein Coding,P20155,51,GC04M056809,0.31,
BRAP,BRCA1 Associated Protein,Protein Coding,Q7Z569,50,GC12M111642,0.31,
XPNPEP1,X-Prolyl Aminopeptidase 1,Protein Coding,Q9NQW7,50,GC10M109864,0.31,
DIP2B,Disco Interacting Protein 2 Homolog B,Protein Coding,Q9P265,49,GC12P050504,0.31,
ABR,ABR Activator Of RhoGEF And GTPase,Protein Coding,Q12979,48,GC17M001003,0.31,
CLK3,CDC Like Kinase 3,Protein Coding,P49761,48,GC15P074598,0.31,
VTA1,Vesicle Trafficking 1,Protein Coding,Q9NP79,48,GC06P142147,0.31,
KLHDC2,Kelch Domain Containing 2,Protein Coding,Q9Y2U9,47,GC14P058030,0.31,
NIF3L1,NGG1 Interacting Factor 3 Like 1,Protein Coding,Q9GZT8,47,GC02P200889,0.31,
PTOV1,PTOV1 Extended AT-Hook Containing Adaptor Protein,Protein Coding,Q86YD1,47,GC19P049850,0.31,
LINS1,Lines Homolog 1,Protein Coding,Q8NG48,46,GC15M163339,0.31,
SLC35F2,Solute Carrier Family 35 Member F2,Protein Coding,Q8IXU6,46,GC11M107790,0.31,
MTCL1,Microtubule Crosslinking Factor 1,Protein Coding,Q9Y4B5,45,GC18P008705,0.31,
RNF167,Ring Finger Protein 167,Protein Coding,Q9H6Y7,45,GC17P153633,0.31,
ZNF536,Zinc Finger Protein 536,Protein Coding,O15090,45,GC19P152318,0.31,
ZWILCH,Zwilch Kinetochore Protein,Protein Coding,Q9H900,44,GC15P066504,0.31,
LRRC41,Leucine Rich Repeat Containing 41,Protein Coding,Q15345,42,GC01M046261,0.31,
GOLGA7,Golgin A7,Protein Coding,Q7Z5G4,41,GC08P044867,0.31,
GTF3C6,General Transcription Factor IIIC Subunit 6,Protein Coding,Q969F1,41,GC06P110958,0.31,
CPNE8,Copine 8,Protein Coding,Q86YQ8,40,GC12M038646,0.31,
FBXO21,F-Box Protein 21,Protein Coding,O94952,40,GC12M117141,0.31,
SERF1A,Small EDRK-Rich Factor 1A,Protein Coding,O75920,40,GC05P070900,0.31,
FAM184B,Family With Sequence Similarity 184 Member B,Protein Coding,Q9ULE4,38,GC04M017634,0.31,
KHDC4,"KH Domain Containing 4, Pre-MRNA Splicing Factor",Protein Coding,Q7Z7F0,38,GC01M155913,0.31,
LOC111099028,"ERG, ETS Transcription Factor Breakpoint Cluster Recombination Region",Functional Element,,9,GC21P038454,0.31,
GTF2H1,General Transcription Factor IIH Subunit 1,Protein Coding,P32780,54,GC11P021408,0.3,
CDC123,Cell Division Cycle 123,Protein Coding,O75794,49,GC10P012195,0.3,
PACSIN3,Protein Kinase C And Casein Kinase Substrate In Neurons 3,Protein Coding,Q9UKS6,49,GC11M139445,0.3,
TFIP11,Tuftelin Interacting Protein 11,Protein Coding,Q9UBB9,45,GC22M026491,0.3,
NPM3,Nucleophosmin/Nucleoplasmin 3,Protein Coding,O75607,44,GC10M101781,0.3,
CNTFR,Ciliary Neurotrophic Factor Receptor,Protein Coding,P26992,57,GC09M034551,0.3,
PTGDR2,Prostaglandin D2 Receptor 2,Protein Coding,Q9Y5Y4,55,GC11M060850,0.3,
DACT1,Dishevelled Binding Antagonist Of Beta Catenin 1,Protein Coding,Q9NYF0,51,GC14P058633,0.3,
FGFBP1,Fibroblast Growth Factor Binding Protein 1,Protein Coding,Q14512,50,GC04M015937,0.3,
GOLGA5,Golgin A5,Protein Coding,Q8TBA6,48,GC14P092794,0.3,
GZMH,Granzyme H,Protein Coding,P20718,47,GC14M024606,0.3,
XPO6,Exportin 6,Protein Coding,Q96QU8,47,GC16M028097,0.3,
CUTA,CutA Divalent Cation Tolerance Homolog,Protein Coding,O60888,46,GC06M106590,0.3,
AGTRAP,Angiotensin II Receptor Associated Protein,Protein Coding,Q6RW13,45,GC01P011736,0.3,
NDFIP2,Nedd4 Family Interacting Protein 2,Protein Coding,Q9NV92,45,GC13P079481,0.3,
OSBPL10,Oxysterol Binding Protein Like 10,Protein Coding,Q9BXB5,44,GC03M031677,0.3,
PDCL3,Phosducin Like 3,Protein Coding,Q9H2J4,44,GC02P100562,0.3,
ZNF706,Zinc Finger Protein 706,Protein Coding,Q9Y5V0,40,GC08M101179,0.3,
INIP,INTS3 And NABP Interacting Protein,Protein Coding,Q9NRY2,38,GC09M112683,0.3,
LHCGR,Luteinizing Hormone/Choriogonadotropin Receptor,Protein Coding,P22888,59,GC02M048686,0.3,
HCN3,Hyperpolarization Activated Cyclic Nucleotide Gated Potassium Channel 3,Protein Coding,Q9P1Z3,49,GC01P155277,0.3,
GPHA2,Glycoprotein Hormone Subunit Alpha 2,Protein Coding,Q96T91,44,GC11M139745,0.3,
REXO1L1P,"REXO1 Like 1, Pseudogene",Pseudogene,Q8IX06,23,GC08M085656,0.3,
MCUR1,Mitochondrial Calcium Uniporter Regulator 1,Protein Coding,Q96AQ8,47,GC06M013788,0.3,
ST3GAL3,"ST3 Beta-Galactoside Alpha-2,3-Sialyltransferase 3",Protein Coding,Q11203,58,GC01P043705,0.29,
MGAT2,"Alpha-1,6-Mannosyl-Glycoprotein 2-Beta-N-Acetylglucosaminyltransferase",Protein Coding,Q10469,56,GC14P049620,0.29,
TNFSF18,TNF Superfamily Member 18,Protein Coding,Q9UNG2,47,GC01M173009,0.29,
SEC61A2,SEC61 Translocon Subunit Alpha 2,Protein Coding,Q9H9S3,44,GC10P012130,0.29,
ZFP42,ZFP42 Zinc Finger Protein,Protein Coding,Q96MM3,44,GC04P187995,0.29,
CERCAM,Cerebral Endothelial Cell Adhesion Molecule,Protein Coding,Q5T4B2,40,GC09P128411,0.29,
MXD3,MAX Dimerization Protein 3,Protein Coding,Q9BW11,40,GC05M183280,0.29,
RELL1,RELT Like 1,Protein Coding,Q8IUW5,38,GC04M037592,0.29,
MIRLET7F2,MicroRNA Let-7f-2,RNA Gene (miRNA),,24,GC0XM053997,0.29,
CASC9,Cancer Susceptibility 9,RNA Gene (lncRNA),,22,GC08M075132,0.29,
GLIDR,Glioblastoma Down-Regulated RNA,RNA Gene (lncRNA),,19,GC09M044455,0.29,
SLC44A1,Solute Carrier Family 44 Member 1,Protein Coding,Q8WWI5,53,GC09P105244,0.29,
UNC5B,Unc-5 Netrin Receptor B,Protein Coding,Q8IZJ1,51,GC10P071212,0.29,
NRG4,Neuregulin 4,Protein Coding,Q8WWG1,48,GC15M075935,0.29,
FEZF1-AS1,FEZF1 Antisense RNA 1,RNA Gene (lncRNA),,24,GC07P122303,0.29,
MIR941-1,MicroRNA 941-1,RNA Gene (miRNA),,21,GC20P069281,0.29,
MIR941-2,MicroRNA 941-2,RNA Gene (miRNA),,16,GC20P069282,0.29,
MIR941-4,MicroRNA 941-4,RNA Gene (miRNA),,16,GC20P069280,0.29,
ALDH7A1P1,Aldehyde Dehydrogenase 7 Family Member A1 Pseudogene 1,Pseudogene,,12,GC05P077290,0.29,
MIR941-3,MicroRNA 941-3,RNA Gene (miRNA),,12,GC20P069283,0.29,
MIR941-5,MicroRNA 941-5,RNA Gene (miRNA),,11,GC20P063919,0.29,
LOC102724197,Inactive Glutathione Hydrolase 2,Protein Coding,,4,GC22P8E0065,0.29,
TRIOBP,TRIO And F-Actin Binding Protein,Protein Coding,Q9H2D6,52,GC22P037697,0.29,
INCENP,Inner Centromere Protein,Protein Coding,Q9NQS7,51,GC11P062123,0.29,
TUBGCP3,Tubulin Gamma Complex Component 3,Protein Coding,Q96CW5,50,GC13M112485,0.29,
E2F8,E2F Transcription Factor 8,Protein Coding,A0AVK6,45,GC11M019203,0.29,
NRBP1,Nuclear Receptor Binding Protein 1,Protein Coding,Q9UHY1,44,GC02P027427,0.29,
ST3GAL1,"ST3 Beta-Galactoside Alpha-2,3-Sialyltransferase 1",Protein Coding,Q11201,55,GC08M133454,0.29,
LAMC3,Laminin Subunit Gamma 3,Protein Coding,Q9Y6N6,54,GC09P131009,0.29,
PKP4,Plakophilin 4,Protein Coding,Q99569,52,GC02P158456,0.29,
ADGRB2,Adhesion G Protein-Coupled Receptor B2,Protein Coding,O60241,51,GC01M031727,0.29,
NAPB,NSF Attachment Protein Beta,Protein Coding,Q9H115,51,GC20M023374,0.29,
NCAPD3,Non-SMC Condensin II Complex Subunit D3,Protein Coding,P42695,51,GC11M134150,0.29,
FUZ,Fuzzy Planar Cell Polarity Protein,Protein Coding,Q9BT04,50,GC19M049806,0.29,
TNS3,Tensin 3,Protein Coding,Q68CZ2,50,GC07M047281,0.29,
DMXL2,Dmx Like 2,Protein Coding,Q8TDJ6,48,GC15M051447,0.29,
SETDB2,SET Domain Bifurcated Histone Lysine Methyltransferase 2,Protein Coding,Q96T68,48,GC13P049444,0.29,
LAD1,Ladinin 1,Protein Coding,O00515,47,GC01M201373,0.29,
TSPAN9,Tetraspanin 9,Protein Coding,O75954,47,GC12P073976,0.29,
GREB1L,GREB1 Like Retinoic Acid Receptor Coactivator,Protein Coding,Q9C091,46,GC18P021242,0.29,
RIMKLB,Ribosomal Modification Protein RimK Like Family Member B,Protein Coding,Q9ULI2,46,GC12P074147,0.29,
SSBP4,Single Stranded DNA Binding Protein 4,Protein Coding,Q9BWG4,46,GC19P152106,0.29,
COPS7A,COP9 Signalosome Subunit 7A,Protein Coding,Q9UBW8,45,GC12P074061,0.29,
TBC1D17,TBC1 Domain Family Member 17,Protein Coding,Q9HA65,45,GC19P049877,0.29,
ANKRD46,Ankyrin Repeat Domain 46,Protein Coding,Q86W74,44,GC08M100510,0.29,
DEDD,Death Effector Domain Containing,Protein Coding,O75618,44,GC01M161120,0.29,
MFSD1,Major Facilitator Superfamily Domain Containing 1,Protein Coding,Q9H3U5,44,GC03P158809,0.29,
WDR91,WD Repeat Domain 91,Protein Coding,A4D1P6,44,GC07M135183,0.29,
MEIS3,Meis Homeobox 3,Protein Coding,Q99687,43,GC19M047403,0.29,
CCDC136,Coiled-Coil Domain Containing 136,Protein Coding,Q96JN2,42,GC07P165502,0.29,
CENPK,Centromere Protein K,Protein Coding,Q9BS16,42,GC05M065565,0.29,
PRDM4,PR/SET Domain 4,Protein Coding,Q9UKN5,42,GC12M107732,0.29,
STMN3,Stathmin 3,Protein Coding,Q9NZ72,42,GC20M063639,0.29,
TRMT44,TRNA Methyltransferase 44 Homolog,Protein Coding,Q8IYL2,42,GC04P029895,0.29,
ZSWIM7,Zinc Finger SWIM-Type Containing 7,Protein Coding,Q19AV6,42,GC17M096375,0.29,
ARHGEF40,Rho Guanine Nucleotide Exchange Factor 40,Protein Coding,Q8TER5,41,GC14P057267,0.29,
CCSAP,"Centriole, Cilia And Spindle Associated Protein",Protein Coding,Q6IQ19,41,GC01M230666,0.29,
FIBCD1,Fibrinogen C Domain Containing 1,Protein Coding,Q8N539,41,GC09M130902,0.29,
HAUS8,HAUS Augmin Like Complex Subunit 8,Protein Coding,Q9BT25,41,GC19M017049,0.29,
JTB,Jumping Translocation Breakpoint,Protein Coding,O76095,41,GC01M153974,0.29,
KLHDC1,Kelch Domain Containing 1,Protein Coding,Q8N7A1,41,GC14P049693,0.29,
MVB12A,Multivesicular Body Subunit 12A,Protein Coding,Q96EY5,41,GC19P160009,0.29,
S100PBP,S100P Binding Protein,Protein Coding,Q96BU1,41,GC01P076726,0.29,
SH3D19,SH3 Domain Containing 19,Protein Coding,Q5HYK7,41,GC04M151102,0.29,
ZNF236,Zinc Finger Protein 236,Protein Coding,Q9UL36,41,GC18P076822,0.29,
PLEKHO1,Pleckstrin Homology Domain Containing O1,Protein Coding,Q53GL0,40,GC01P176467,0.29,
SCRN3,Secernin 3,Protein Coding,Q0VDG4,40,GC02P174395,0.29,
CEP57L1,Centrosomal Protein 57 Like 1,Protein Coding,Q8IYX8,38,GC06P109095,0.29,
KIAA1191,KIAA1191,Protein Coding,Q96A73,38,GC05M176346,0.29,
SLC10A3,Solute Carrier Family 10 Member 3,Protein Coding,P09131,38,GC0XM154488,0.29,
NECAB3,N-Terminal EF-Hand Calcium Binding Protein 3,Protein Coding,Q96P71,37,GC20M034121,0.29,
RPUSD1,RNA Pseudouridine Synthase Domain Containing 1,Protein Coding,Q9UJJ7,37,GC16M049767,0.29,
RSRP1,Arginine And Serine Rich Protein 1,Protein Coding,Q9BUV0,37,GC01M025242,0.29,
ZNF573,Zinc Finger Protein 573,Protein Coding,Q86YE8,37,GC19M037735,0.29,
MIR600HG,MIR600 Host Gene,RNA Gene (lncRNA),,24,GC09M123109,0.29,
MIR1197,MicroRNA 1197,RNA Gene (miRNA),,17,GC14P120391,0.29,
MYBL1,MYB Proto-Oncogene Like 1,Protein Coding,P10243,51,GC08M066562,0.27,
RSRC2,Arginine And Serine Rich Coiled-Coil 2,Protein Coding,Q7L4I2,42,GC12M122503,0.27,
ROBO2,Roundabout Guidance Receptor 2,Protein Coding,Q9HCK4,55,GC03P075977,0.27,
DOK1,Docking Protein 1,Protein Coding,Q99704,54,GC02P074549,0.27,
SLAMF6,SLAM Family Member 6,Protein Coding,Q96DU3,51,GC01M167614,0.27,
UBE2R2,Ubiquitin Conjugating Enzyme E2 R2,Protein Coding,Q712K3,50,GC09P074533,0.27,
RANBP3,RAN Binding Protein 3,Protein Coding,Q9H6Z4,49,GC19M005916,0.27,
ATG2B,Autophagy Related 2B,Protein Coding,Q96BY7,48,GC14M124274,0.27,
SBNO1,Strawberry Notch Homolog 1,Protein Coding,A3KN83,48,GC12M123289,0.27,
UBA3,Ubiquitin Like Modifier Activating Enzyme 3,Protein Coding,Q8TBC4,48,GC03M069054,0.27,
TAF7,TATA-Box Binding Protein Associated Factor 7,Protein Coding,Q15545,46,GC05M141312,0.27,
CORO7,Coronin 7,Protein Coding,P57737,45,GC16M050010,0.27,
CRIP2,Cysteine Rich Protein 2,Protein Coding,P52943,44,GC14P105472,0.27,
NUDCD1,NudC Domain Containing 1,Protein Coding,Q96RS6,43,GC08M109240,0.27,
ARMT1,Acidic Residue Methyltransferase 1,Protein Coding,Q9H993,42,GC06P151452,0.27,
L1CAM-AS1,L1CAM Antisense RNA 1,RNA Gene (lncRNA),,21,GC0XP155129,0.27,
MIR548E,MicroRNA 548e,RNA Gene (miRNA),,17,GC10P110988,0.27,
LINC01629,Long Intergenic Non-Protein Coding RNA 1629,RNA Gene (lncRNA),,15,GC14P078334,0.27,
FZD6,Frizzled Class Receptor 6,Protein Coding,O60353,57,GC08P103298,0.27,
GRIK3,Glutamate Ionotropic Receptor Kainate Type Subunit 3,Protein Coding,Q13003,55,GC01M036795,0.27,
LY6E,Lymphocyte Antigen 6 Family Member E,Protein Coding,Q16553,53,GC08P143017,0.27,
SLC45A2,Solute Carrier Family 45 Member 2,Protein Coding,Q9UMX9,52,GC05M033944,0.27,
COL8A1,Collagen Type VIII Alpha 1 Chain,Protein Coding,P27658,51,GC03P099638,0.27,
CD1B,CD1b Molecule,Protein Coding,P29016,50,GC01M167560,0.27,
PIGU,Phosphatidylinositol Glycan Anchor Biosynthesis Class U,Protein Coding,Q9H490,50,GC20M034560,0.27,
PILRA,Paired Immunoglobin Like Type 2 Receptor Alpha,Protein Coding,Q9UKJ1,48,GC07P100367,0.27,
ASAP2,"ArfGAP With SH3 Domain, Ankyrin Repeat And PH Domain 2",Protein Coding,O43150,46,GC02P009206,0.27,
MOB1B,MOB Kinase Activator 1B,Protein Coding,Q7L9L4,46,GC04P071032,0.27,
CHMP4A,Charged Multivesicular Body Protein 4A,Protein Coding,Q9BY43,45,GC14M028840,0.27,
NKX2-3,NK2 Homeobox 3,Protein Coding,Q8TAU0,44,GC10P099532,0.27,
CHID1,Chitinase Domain Containing 1,Protein Coding,Q9BWS9,42,GC11M000867,0.27,
DPY19L1,Dpy-19 Like C-Mannosyltransferase 1,Protein Coding,Q2PZI1,42,GC07M034935,0.27,
BCAP29,B Cell Receptor Associated Protein 29,Protein Coding,Q9UHQ4,41,GC07P110970,0.27,
PRR11,Proline Rich 11,Protein Coding,Q96HE9,41,GC17P059155,0.27,
RBMXL2,RBMX Like 2,Protein Coding,O75526,40,GC11P021011,0.27,
