NAME	TITLE	SCORE	
IRX3	IRX3	0.15571502	
ZNF521	ZNF521	0.15567529	
MMRN1	MMRN1	0.15530863	
EPB41L5	EPB41L5	0.15521552	
LRFN5	LRFN5	0.15492147	
KIF1C	KIF1C	0.15420562	
PLLP	PLLP	0.15419522	
ITPR1	ITPR1	0.15397684	
SMTN	SMTN	0.15371022	
ABCG2	ABCG2	0.1536522	
BBOF1	BBOF1	0.15364783	
MT1F	MT1F	0.15297584	
PPFIBP2	PPFIBP2	0.15273595	
LZTS1	LZTS1	0.1526634	
SCN3B	SCN3B	0.15241218	
EFNB3	EFNB3	0.15237227	
PPP1R14A	PPP1R14A	0.15180776	
NAPSA	NAPSA	0.15167221	
KLRB1	KLRB1	0.15161596	
MPZL2	MPZL2	0.15161583	
HSPA2	HSPA2	0.15137881	
JPH1	JPH1	0.15110236	
PCDH19	PCDH19	0.15105633	
PGM2L1	PGM2L1	0.15079214	
MMP7	MMP7	0.15063189	
COL6A2	COL6A2	0.15062106	
CALD1	CALD1	0.15059859	
TSPAN18	TSPAN18	0.1505529	
TFPI2	TFPI2	0.1504096	
CAV1	CAV1	0.15013655	
SACS	SACS	0.14980413	
DPYSL4	DPYSL4	0.14973867	
KLF12	KLF12	0.14948463	
STK26	STK26	0.1491768	
CKM	CKM	0.14915797	
MPP6	MPP6	0.14909977	
FAM189A2	FAM189A2	0.14893569	
MAMDC2	MAMDC2	0.14888477	
TRIML2	TRIML2	0.1486658	
CCDC112	CCDC112	0.14865206	
CXorf23	CXorf23	0.14859185	
C5orf46	C5orf46	0.148497	
OPN3	OPN3	0.14837787	
LCN10	LCN10	0.14827493	
TCEAL1	TCEAL1	0.14783628	
FOXN4	FOXN4	0.14783174	
GYG2	GYG2	0.14762527	
FZD5	FZD5	0.14749737	
CCDC80	CCDC80	0.1474885	
REPS2	REPS2	0.1474072	
HAPLN3	HAPLN3	0.14725918	
USP13	USP13	0.14689477	
IL17B	IL17B	0.14685462	
FBXL7	FBXL7	0.14679441	
C9orf152	C9orf152	0.14674082	
ZEB1	ZEB1	0.1466018	
TRIM46	TRIM46	0.14653465	
SPIN4	SPIN4	0.14648682	
CSRP1	CSRP1	0.14639659	
EPHB1	EPHB1	0.14631332	
LRRC2	LRRC2	0.14595056	
KRT222	KRT222	0.14588282	
PLA2G2A	PLA2G2A	0.14574768	
CEP128	CEP128	0.14572066	
TINAGL1	TINAGL1	0.14571549	
SCGB2A2	SCGB2A2	0.1454348	
FHL1	FHL1	0.14507379	
SBSPON	SBSPON	0.14495021	
MUSTN1	MUSTN1	0.14412978	
COL27A1	COL27A1	0.14412285	
SOX21	SOX21	0.14409775	
TSPAN15	TSPAN15	0.14394787	
MYH7	MYH7	0.14356309	
MT1M	MT1M	0.14341398	
ALCAM	ALCAM	0.14332499	
ADARB1	ADARB1	0.14330952	
FILIP1L	FILIP1L	0.1432914	
KLRC1	KLRC1	0.14313023	
MEX3B	MEX3B	0.14303719	
PRELP	PRELP	0.1427773	
RFX2	RFX2	0.14275731	
PSG6	PSG6	0.14271133	
ADH5	ADH5	0.1425705	
EMILIN1	EMILIN1	0.14251891	
LSM11	LSM11	0.1424986	
WWTR1	WWTR1	0.14246316	
INTU	INTU	0.14233957	
FZD6	FZD6	0.14196448	
TUBB2A	TUBB2A	0.14193273	
